system,task_family,case_id,verifier_call_count,verifier_probe_count,direct_verifier_code_use,root_contract_read_before_durable_commitment,official_valid,normalized_score,outcome_label,verifier_call_trace_seqs,verifier_probe_trace_seqs
Kimi CLI,Revisit Constellation,case_0001,8,3,no,yes,True,69.41,repeated calibration with high-quality handoff,468;492;522;576;600;618;690;744,9;30;54
Kimi CLI,Revisit Constellation,case_0002,12,1,no,yes,True,81.97,repeated calibration with high-quality handoff,335;353;365;389;419;455;473;527;593;641;677;917,16
Kimi CLI,Revisit Constellation,case_0003,7,1,no,yes,True,70.0,repeated calibration with high-quality handoff,391;409;457;524;574;630;643,18
Kimi CLI,Revisit Constellation,case_0004,18,3,no,yes,True,70.09,repeated calibration with high-quality handoff,52;106;124;163;207;263;288;313;338;369;394;419;463;501;502;513;543;552,8;16;25
Kimi CLI,Revisit Constellation,case_0005,1,1,no,yes,True,75.32,light verifier use with high-quality handoff,348,8
OpenCode + DeepSeek V4 Pro,Revisit Constellation,case_0001,10,1,no,yes,True,72.08,repeated calibration with high-quality handoff,207;292;308;340;364;368;392;410;428;436,23
OpenCode + DeepSeek V4 Pro,Revisit Constellation,case_0002,1,1,no,yes,True,72.08,light verifier use with high-quality handoff,392,20
OpenCode + DeepSeek V4 Pro,Revisit Constellation,case_0003,6,1,no,yes,True,70.0,repeated calibration with high-quality handoff,180;193;198;215;224;240,16
OpenCode + DeepSeek V4 Pro,Revisit Constellation,case_0004,8,1,no,yes,True,69.28,repeated calibration with high-quality handoff,190;218;257;276;312;320;328;344,18
OpenCode + DeepSeek V4 Pro,Revisit Constellation,case_0005,5,2,no,yes,True,71.33,repeated calibration with high-quality handoff,123;149;194;202;288,16;21
OpenCode + MiniMax,Revisit Constellation,case_0001,0,0,no,no,False,0.0,no external calibration; low or invalid outcome,,
OpenCode + MiniMax,Revisit Constellation,case_0002,0,0,no,no,False,0.0,no external calibration; low or invalid outcome,,
OpenCode + MiniMax,Revisit Constellation,case_0003,0,0,no,no,False,0.0,no external calibration; low or invalid outcome,,
OpenCode + MiniMax,Revisit Constellation,case_0004,15,0,no,no,False,0.0,repeated calibration with low final quality,265;277;345;361;369;425;453;465;493;505;537;549;565;597;617,
OpenCode + MiniMax,Revisit Constellation,case_0005,0,0,no,no,False,0.0,no external calibration; low or invalid outcome,,
Claude Code + Claude Opus 4.6,SatNet,W10_2018,33,1,no,yes,True,85.94,repeated calibration with high-quality handoff,48;51;60;74;88;121;146;168;191;195;215;243;264;277;291;300;304;310;313;317;323;327;331;343;346;355;368;370;379;398;430;434;468,41
Claude Code + Claude Opus 4.6,SatNet,W20_2018,15,1,no,yes,True,77.09,repeated calibration with high-quality handoff,51;63;70;75;82;95;101;106;113;122;127;146;182;202;217,43
Claude Code + Claude Opus 4.6,SatNet,W30_2018,0,0,no,no,False,0.0,no external calibration; low or invalid outcome,,
